"","V100","evangelical"
"1",46,0
"2",112,0
"3",127,0
"4",238,0
"5",334,0
"6",925,0
"7",946,0
"8",1300,0
"9",2284,1
"10",2599,0
"11",3667,0
"12",3994,0
"13",4150,0
"14",5230,0
"15",5419,0
"16",5560,0
"17",6061,0
"18",6451,0
"19",7777,1
"20",8818,1
"21",8950,1
"22",9040,0
"23",9583,0
"24",9712,0
"25",11212,0
"26",11488,0
"27",11710,0
"28",11902,0
"29",12118,0
"30",12517,0
"31",13717,0
"32",14755,0
"33",15034,0
"34",15157,0
"35",15259,0
"36",15892,1
"37",16003,0
"38",16603,1
"39",16651,0
"40",17842,0
"41",18481,0
"42",19171,0
"43",19183,0
"44",19546,0
"45",19648,0
"46",20386,0
"47",21547,0
"48",21763,0
"49",21886,0
"50",22846,1
"51",22912,0
"52",23371,0
"53",23524,0
"54",24058,0
"55",24091,0
"56",24313,1
"57",24559,0
"58",25420,0
"59",25492,0
"60",26329,0
"61",27175,0
"62",27178,0
"63",2035189,0
"64",2035501,0
"65",2035711,0
"66",2037052,0
"67",6000625,1
"68",6001084,0
"69",6002440,0
"70",6002680,0
"71",6002833,0
"72",6003148,1
"73",6003436,0
"74",6003922,1
"75",6004042,0
"76",6004765,0
"77",6004909,0
"78",6005557,0
"79",6005683,1
"80",6006721,1
"81",6007042,0
"82",6008665,0
"83",6008935,1
"84",6008968,1
"85",6009910,1
"86",6010528,0
"87",6010561,0
"88",6010924,0
"89",6010996,0
"90",6011389,0
"91",6011806,0
"92",6014530,1
"93",6015541,0
"94",6015718,0
"95",6016180,0
"96",6016759,0
"97",6016903,0
"98",6016945,0
"99",6016996,0
"100",6017881,0
"101",6018079,0
"102",6018676,0
"103",6019102,0
"104",6019108,0
"105",6019618,0
"106",6021025,0
"107",6021142,1
"108",6021796,0
"109",6022063,0
"110",6022207,0
"111",6022816,0
"112",6023857,0
"113",6023905,0
"114",6024856,0
"115",6025729,0
"116",6025804,0
"117",6025870,1
"118",6026314,0
"119",6027274,0
"120",6027505,0
"121",6027799,0
"122",6028018,0
"123",6028042,0
"124",6028639,1
"125",6028897,0
"126",6028957,0
"127",6030025,0
"128",6030079,0
"129",6030799,0
"130",6030943,0
"131",6031318,0
"132",6032446,0
"133",6032899,1
"134",6033556,0
"135",6033901,1
"136",6034450,1
"137",6034768,0
"138",6035647,1
"139",6035959,0
"140",6037012,0
"141",6037243,0
"142",6039358,0
"143",6039505,0
"144",6039631,0
"145",6039826,1
"146",6042316,0
"147",6042607,0
"148",6043636,0
"149",6043783,0
"150",6043978,0
"151",6044239,0
"152",6044746,0
"153",6045658,0
"154",6046579,0
"155",6046735,1
"156",6047683,0
"157",6048256,0
"158",6048355,1
"159",6048916,0
"160",6049210,0
"161",6050005,0
"162",6050092,0
"163",6050590,0
"164",6052291,0
"165",6052555,0
"166",6052975,0
"167",6053239,1
"168",6053272,0
"169",6053281,1
"170",6053356,0
"171",6053377,0
"172",6053740,0
"173",6053827,1
"174",6053953,0
"175",6054184,0
"176",6054367,0
"177",6054439,1
"178",6054478,0
"179",6054556,0
"180",6057595,0
"181",6058708,0
"182",6059230,0
"183",6060469,1
"184",6060502,0
"185",6060817,0
"186",6060907,0
"187",6061987,0
"188",6062092,0
"189",6062461,0
"190",6062716,0
"191",6063328,0
"192",6063673,0
"193",6064621,0
"194",6064969,0
"195",6065122,0
"196",6065512,0
"197",6065590,0
"198",6065641,0
"199",6065935,0
"200",6066496,1
"201",6066520,0
"202",6066529,0
"203",6067441,0
"204",6067558,0
"205",6068197,0
"206",6068227,0
"207",6068602,0
"208",6069214,0
"209",6069364,0
"210",6069676,1
"211",6070015,0
"212",6071386,0
"213",6071437,0
"214",6071764,0
"215",6071875,0
"216",6072298,0
"217",6072607,0
"218",6072661,0
"219",6072682,0
"220",6072712,0
"221",6073183,0
"222",6073795,1
"223",6074074,0
"224",6074170,0
"225",6076543,1
"226",6076600,0
"227",6077563,0
"228",6078448,0
"229",6078553,0
"230",6078655,0
"231",6079126,0
"232",6080155,0
"233",6080179,0
"234",6081826,0
"235",6081928,0
"236",6082135,1
"237",6082198,1
"238",6082426,0
"239",6082495,0
"240",6082552,0
"241",6082606,0
"242",6082636,1
"243",6082978,0
"244",6083860,0
"245",6083938,0
"246",6084061,0
"247",6084091,0
"248",6085678,0
"249",6085756,0
"250",6086938,0
"251",6087094,0
"252",6087619,0
"253",6087676,0
"254",6088030,0
"255",6089089,0
"256",6089191,0
"257",6089359,0
"258",6090322,0
"259",6090619,0
"260",6091438,0
"261",6094084,0
"262",6094207,1
"263",6094825,0
"264",6095224,0
"265",6096505,0
"266",6098113,0
"267",6099574,0
"268",6101488,0
"269",6101593,0
"270",6101689,0
"271",6102352,0
"272",6102472,0
"273",6102676,0
"274",6102739,0
"275",6102997,0
"276",6103141,0
