"","V100","evangelical"
"1",21719,0
"2",25731,0
"3",68761,0
"4",74540,0
"5",27805,0
"6",21575,0
"7",70873,0
"8",39150,0
"9",63017,0
"10",83760,0
"11",7995,0
"12",84909,0
"13",33532,0
"14",18433,0
"15",78232,0
"16",81057,0
"17",22594,0
"18",358,0
"19",3574,0
"20",63944,0
"21",64047,0
"22",13630,0
"23",67522,0
"24",40167,0
"25",22979,0
"26",3604,0
"27",53579,1
"28",54400,0
"29",26582,0
"30",34007,0
"31",20153,0
"32",22313,0
"33",32773,1
"34",31746,0
"35",70544,0
"36",16340,0
"37",19222,0
"38",24907,0
"39",72432,0
"40",15252,0
"41",10092,1
"42",48050,1
"43",30503,0
"44",71980,0
"45",83381,0
"46",64810,0
"47",10059,0
"48",10357,1
"49",76684,0
"50",22756,0
"51",4600,0
"52",63779,0
"53",20626,0
"54",36736,0
"55",70398,0
"56",6061,0
"57",32653,0
"58",11566,1
"59",5492,0
"60",16403,0
"61",5101,0
"62",18687,0
"63",56542,0
"64",17344,0
"65",29117,0
"66",31921,0
"67",30246,1
"68",8534,0
"69",3435,0
"70",673,0
"71",76856,0
"72",22596,0
"73",15633,0
"74",28041,0
"75",2861,0
"76",3728,0
"77",83251,0
"78",27427,0
"79",29827,0
"80",31640,0
"81",73881,0
"82",12575,0
"83",12895,0
"84",12083,0
"85",32721,0
"86",49507,0
"87",71313,0
"88",52304,0
"89",28771,1
"90",23438,0
"91",27455,1
"92",26430,0
"93",19272,0
"94",29743,0
"95",81696,1
"96",11091,0
"97",9347,1
"98",66492,0
"99",37344,0
"100",71920,1
"101",53845,0
"102",3423,0
"103",80003,0
"104",6439,0
"105",17049,0
"106",8764,0
"107",49488,0
"108",33229,0
"109",39144,0
"110",36477,0
"111",74575,0
"112",70379,0
"113",10161,0
"114",81695,0
"115",77651,0
"116",4192,0
"117",25915,0
"118",83216,0
"119",15300,0
"120",79527,0
"121",22141,0
"122",35488,0
"123",32597,0
"124",72338,0
"125",35920,1
"126",7663,0
"127",7144,0
"128",35391,0
"129",79673,0
"130",22244,0
"131",1968,0
"132",11094,1
"133",25145,0
"134",80805,0
"135",22328,0
"136",31547,1
"137",56103,0
"138",78532,1
"139",62914,0
"140",24290,0
"141",29201,1
"142",18644,0
"143",52728,0
"144",17368,0
"145",72437,0
"146",77941,0
"147",24072,1
"148",19654,0
"149",32844,0
"150",81136,0
"151",78828,0
"152",19878,0
"153",15940,0
"154",56732,0
"155",3592,0
"156",65673,1
"157",13732,0
"158",70033,0
"159",26557,0
"160",73215,1
"161",69984,0
"162",76783,0
"163",66564,0
"164",32682,0
"165",24383,0
"166",11040,0
"167",35117,1
"168",70506,0
"169",61395,0
"170",75542,0
"171",32455,0
"172",25434,0
"173",27008,0
"174",16901,0
"175",76917,0
"176",18526,0
"177",26345,0
"178",15128,1
"179",35538,0
"180",26197,0
"181",8143,0
"182",30053,1
