"","V101","evangelical"
"1",170038327,0
"2",173867618,0
"3",186960011,0
"4",194508879,1
"5",206275648,0
"6",211844240,0
"7",213795394,0
"8",219425121,0
"9",219580352,0
"10",222791715,0
"11",222861933,0
"12",222875577,1
"13",224337775,1
"14",224401086,0
"15",224480405,0
"16",224635040,0
"17",224796553,0
"18",224903158,0
"19",224924787,0
"20",224927029,0
"21",225015975,0
"22",225136145,0
"23",225170714,0
"24",225245509,0
"25",225375225,0
"26",225467591,0
"27",225551532,0
"28",225571157,1
"29",225609777,1
"30",225623046,0
"31",225674255,0
"32",225692675,1
"33",225693241,0
"34",225704531,1
"35",225705343,0
"36",225726572,0
"37",225726867,0
"38",225758880,0
"39",225846766,0
"40",225848568,0
"41",225860857,0
"42",225861176,0
"43",225863907,0
"44",225876012,0
"45",225936202,0
"46",225939241,0
"47",225939317,0
"48",225965617,0
"49",225979280,0
"50",225982069,0
"51",225982837,0
"52",225985865,0
"53",225986412,0
"54",225996150,0
"55",225996967,0
"56",226015800,0
"57",226016798,0
"58",226049263,1
"59",226050390,0
"60",226056625,0
"61",226102929,0
"62",226114648,0
"63",226117471,1
"64",226121237,1
"65",226123662,1
"66",226123833,0
"67",226124041,0
"68",226126217,0
"69",226126579,1
"70",226126689,0
"71",226128441,0
"72",226134239,1
"73",226138446,1
"74",226144390,0
"75",226144592,1
"76",226148716,1
"77",226158184,0
"78",226165860,0
"79",226241442,0
"80",226244286,0
"81",226244788,1
"82",226245201,0
"83",226247718,0
"84",226248142,1
"85",226250448,0
"86",226250463,1
"87",226250899,0
"88",226250903,0
"89",226253842,0
"90",226254590,0
"91",226254757,0
"92",226257062,0
"93",226259638,0
"94",226259922,0
"95",226260186,0
"96",226260785,0
"97",226263318,0
"98",226263992,1
"99",226266916,0
"100",226267057,0
"101",226269141,0
"102",226269594,0
"103",226270248,1
"104",226270326,0
"105",226272487,0
"106",226272609,0
"107",226272857,0
"108",226273345,0
"109",226273646,0
"110",226276034,0
"111",226276191,0
"112",226278721,0
"113",226279323,0
"114",226279690,0
"115",226282257,0
"116",226282369,0
"117",226282381,0
"118",226282712,1
"119",226282758,0
"120",226285819,0
"121",226306753,0
"122",226311757,0
"123",226316184,0
"124",226319784,0
"125",226321457,0
"126",226324602,0
"127",226324857,1
"128",226327497,1
"129",226327544,0
"130",226327671,1
"131",226327731,0
"132",226327758,0
"133",226327783,0
"134",226330442,0
"135",226330544,1
"136",226330645,0
"137",226330713,0
"138",226330740,0
"139",226333879,0
"140",226333934,0
"141",226333960,0
"142",226334033,0
"143",226334054,0
"144",226336958,0
"145",226336964,1
"146",226336990,1
"147",226337089,0
"148",226337112,0
"149",226337332,1
"150",226340016,1
"151",226340046,0
"152",226340075,0
"153",226343313,0
"154",226346193,0
"155",226346206,0
"156",226346900,1
"157",226351694,0
"158",226356772,0
"159",226376337,0
"160",226376416,0
"161",226376608,0
"162",226376987,0
"163",226381131,0
"164",226381595,0
"165",226381618,0
"166",226381788,0
"167",226382028,0
"168",226382399,0
"169",226382528,1
"170",226385429,1
"171",226387694,0
"172",226388251,1
"173",226388682,1
"174",226390805,0
"175",226393728,0
"176",226394577,0
"177",226394776,0
"178",226395186,1
"179",226401374,0
"180",226403769,0
"181",226406657,0
"182",226406808,0
"183",226407425,0
"184",226407555,0
"185",226409894,0
"186",226411255,0
"187",226412839,0
"188",226416665,0
"189",226417129,0
"190",226417161,0
"191",226417544,0
"192",226421002,1
"193",226421011,0
"194",226421392,0
"195",226424036,0
"196",226424737,0
"197",226427332,0
"198",226427794,0
"199",226430464,0
"200",226430827,1
"201",226433554,0
"202",226436758,1
"203",226436800,0
"204",226442593,0
"205",226464123,0
"206",226464382,0
"207",226464437,0
"208",226504510,1
"209",226504572,0
"210",226504573,0
"211",226504625,0
"212",226504635,0
"213",226504641,0
"214",226504663,0
"215",226504857,0
"216",226504981,0
"217",226504983,0
"218",226505158,0
"219",226505196,0
"220",226505246,0
"221",226505371,0
"222",226505548,1
"223",226507205,0
"224",226507284,0
"225",226507310,1
"226",226507408,0
"227",226507529,0
"228",226507839,0
"229",226507960,1
"230",226508015,0
"231",226508982,0
"232",226509455,0
"233",226509964,0
"234",226510050,0
"235",226510101,1
"236",226510150,0
"237",226510222,0
"238",226510302,0
"239",226510319,0
"240",226510323,0
"241",226510331,0
"242",226510548,0
"243",226510667,0
"244",226510807,0
"245",226510808,0
"246",226510823,0
"247",226510841,0
"248",226511284,0
"249",226511398,0
"250",226513364,0
"251",226513478,0
"252",226513635,0
"253",226513882,0
"254",226513890,1
"255",226513918,1
"256",226514027,0
"257",226514248,1
"258",226514484,1
"259",226514513,0
"260",226516081,0
"261",226516369,0
"262",226516454,0
"263",226516911,0
"264",226516959,1
"265",226516972,0
"266",226517043,0
"267",226517133,0
"268",226517159,0
"269",226517180,0
"270",226517442,1
"271",226517542,0
"272",226517618,0
"273",226517674,0
"274",226517688,0
"275",226517875,0
"276",226517951,1
"277",226517979,0
"278",226519325,1
"279",226519366,0
"280",226519666,0
"281",226519716,1
"282",226519782,0
"283",226519972,0
"284",226520572,1
"285",226520626,0
"286",226520662,0
"287",226520668,0
"288",226520759,1
"289",226520823,0
"290",226520912,0
"291",226520951,0
"292",226521066,0
"293",226522829,1
"294",226522993,1
"295",226523197,0
"296",226523296,0
"297",226523308,0
"298",226523410,0
"299",226523427,0
"300",226523589,0
"301",226523763,0
"302",226523908,0
"303",226524022,1
"304",226524345,1
"305",226524499,1
"306",226524507,0
"307",226525857,0
"308",226525885,0
"309",226526207,0
"310",226526263,0
"311",226526351,0
"312",226526448,1
"313",226526457,0
"314",226526459,0
"315",226526524,0
"316",226526525,0
"317",226526588,1
"318",226526673,0
"319",226526738,0
"320",226526813,0
"321",226526832,0
"322",226526855,0
"323",226526934,0
"324",226527030,1
"325",226527203,0
"326",226527335,0
"327",226527340,0
"328",226529128,0
"329",226529329,1
"330",226529546,1
"331",226529608,0
"332",226529797,0
"333",226529821,0
"334",226529880,0
"335",226530109,0
"336",226530117,0
"337",226530263,1
"338",226530488,0
"339",226530641,0
"340",226530649,1
"341",226530666,0
"342",226530704,0
"343",226530721,0
"344",226530763,1
"345",226530793,0
"346",226530992,0
"347",226531031,1
"348",226533030,1
"349",226533046,0
"350",226533085,0
"351",226533131,0
"352",226533133,1
"353",226533336,0
"354",226533363,0
"355",226533505,0
"356",226533521,0
"357",226533594,0
"358",226533699,0
"359",226533717,0
"360",226533792,1
"361",226533806,0
"362",226533810,0
"363",226533813,0
"364",226534071,0
"365",226534185,0
"366",226534224,0
"367",226534226,0
"368",226534235,0
"369",226534282,0
"370",226534325,0
"371",226534339,0
"372",226535821,0
"373",226535932,1
"374",226536268,0
"375",226536439,1
"376",226536461,0
"377",226536464,0
"378",226536500,1
"379",226536656,0
"380",226536797,0
"381",226536811,0
"382",226537284,0
"383",226537389,0
"384",226537436,0
"385",226537652,0
"386",226537781,0
"387",226539326,0
"388",226539658,0
"389",226539701,0
"390",226539868,0
"391",226539946,0
"392",226539962,0
"393",226539981,0
"394",226540123,0
"395",226540227,0
"396",226540262,0
"397",226540602,1
"398",226540700,0
"399",226540807,0
"400",226541031,1
"401",226541200,0
"402",226541244,1
"403",226543523,0
"404",226543627,0
"405",226543842,0
"406",226543986,0
"407",226543989,0
"408",226544046,1
"409",226544053,0
"410",226544089,1
"411",226544119,1
"412",226544151,0
"413",226544184,0
"414",226544327,1
"415",226544421,0
"416",226544536,1
"417",226544561,0
"418",226544649,0
"419",226544698,0
"420",226544742,0
"421",226544829,0
"422",226544872,0
"423",226546668,1
"424",226546707,0
"425",226546871,0
"426",226546904,0
"427",226547025,1
"428",226547063,0
"429",226547136,0
"430",226547154,0
"431",226547156,1
"432",226547489,0
"433",226547533,0
"434",226547642,0
"435",226547691,0
"436",226547695,1
"437",226547702,0
"438",226547724,0
"439",226547802,0
"440",226548080,0
"441",226548119,0
"442",226549599,1
"443",226549708,0
"444",226549906,0
"445",226550048,0
"446",226550061,0
"447",226550198,0
"448",226550207,0
"449",226550356,1
"450",226550390,0
"451",226550509,1
"452",226550612,0
"453",226550662,1
"454",226550815,0
"455",226550853,1
"456",226550929,0
"457",226550933,0
"458",226550988,0
"459",226551163,0
"460",226552851,0
"461",226552967,0
"462",226553083,0
"463",226553263,0
"464",226553664,0
"465",226553783,0
"466",226553793,0
"467",226554120,0
"468",226555988,0
"469",226556278,0
"470",226556295,0
"471",226556343,0
"472",226556431,0
"473",226556473,0
"474",226556727,0
"475",226556734,0
"476",226556834,1
"477",226556880,0
"478",226556917,0
"479",226556927,0
"480",226557154,0
"481",226557216,0
"482",226557285,0
"483",226557289,0
"484",226557354,0
"485",226557476,1
"486",226561666,1
"487",226561716,1
"488",226562150,0
"489",226564099,1
"490",226564300,0
"491",226566810,0
"492",226569240,0
"493",226571530,1
"494",226571897,0
"495",226573389,0
"496",226576562,1
"497",226579189,0
"498",226582499,0
"499",226582508,0
"500",226582512,1
"501",226582555,0
"502",226582566,0
"503",226582671,0
"504",226582698,1
"505",226582701,0
"506",226582709,0
"507",226583364,0
"508",226583367,1
"509",226583378,0
"510",226583484,0
"511",226583493,0
"512",226583498,1
"513",226583508,1
"514",226583509,1
"515",226583521,0
"516",226583526,0
"517",226583531,1
"518",226583534,0
"519",226583564,0
"520",226583581,1
"521",226583668,0
"522",226583676,0
"523",226583704,0
"524",226583721,0
"525",226583789,1
"526",226583795,1
"527",226583830,1
"528",226583901,0
"529",226583956,0
"530",226583959,0
"531",226583962,0
"532",226583972,0
"533",226583978,0
"534",226583990,0
"535",226584001,0
"536",226584007,0
"537",226584011,0
"538",226584014,0
"539",226584026,0
"540",226584847,0
"541",226585387,1
"542",226585393,0
"543",226585395,0
"544",226585396,0
"545",226585409,0
"546",226585418,0
"547",226585434,0
"548",226585436,0
"549",226585446,0
"550",226585454,1
"551",226585464,0
"552",226585482,0
"553",226585499,0
"554",226585529,0
"555",226585552,1
"556",226585559,1
"557",226586173,1
"558",226586209,0
"559",226586211,1
"560",226586215,0
"561",226586261,0
"562",226586290,0
"563",226586342,1
"564",226586346,0
"565",226586351,0
"566",226586352,0
"567",226586385,0
"568",226586398,0
"569",226586414,0
"570",226586506,0
"571",226586509,1
"572",226586556,0
"573",226586557,0
"574",226586568,1
"575",226586590,0
"576",226586618,0
"577",226586785,0
"578",226586801,0
"579",226586808,0
"580",226586817,0
"581",226586819,1
"582",226586837,0
"583",226588303,0
"584",226588325,0
"585",226588334,1
"586",226588345,0
"587",226588378,0
"588",226588401,1
"589",226589159,0
"590",226589177,0
"591",226589185,0
"592",226589207,0
"593",226589220,0
"594",226589223,0
"595",226589236,0
"596",226589247,1
"597",226589264,0
"598",226589311,0
"599",226589312,0
"600",226589317,1
"601",226589331,0
"602",226589335,0
"603",226589363,1
"604",226589366,0
"605",226589370,0
"606",226589412,0
"607",226589425,0
"608",226589446,0
"609",226589455,0
"610",226589470,1
"611",226589479,0
"612",226589497,0
"613",226589505,1
"614",226589519,0
"615",226589601,0
"616",226589613,0
"617",226589636,0
"618",226589644,0
"619",226589844,1
"620",226589849,0
"621",226589880,0
"622",226589882,0
"623",226589903,0
"624",226589910,1
"625",226589921,0
"626",226589923,1
"627",226589930,0
"628",226589936,0
"629",226589939,0
"630",226590238,0
"631",226590259,0
"632",226591159,0
"633",226591182,0
"634",226591217,0
"635",226591221,0
"636",226591295,0
"637",226591309,0
"638",226591334,0
"639",226591827,0
"640",226593430,1
"641",226593445,1
"642",226593818,0
"643",226593819,0
"644",226593868,0
"645",226593903,0
"646",226593928,1
"647",226594279,0
"648",226594487,0
"649",226594506,1
"650",226594521,1
"651",226594557,1
"652",226594659,1
"653",226594675,0
"654",226594700,0
"655",226594727,0
"656",226594735,0
"657",226594743,0
"658",226594760,1
"659",226594764,0
"660",226594781,1
"661",226594790,0
"662",226594800,1
"663",226594806,0
"664",226594813,1
"665",226594831,1
"666",226594843,1
"667",226594847,0
"668",226594851,0
"669",226594862,0
"670",226594882,1
"671",226594883,0
"672",226594910,0
"673",226594916,1
"674",226594921,0
"675",226594979,0
"676",226595121,1
"677",226595154,0
"678",226595160,1
"679",226595173,0
"680",226595176,0
"681",226595187,0
"682",226595217,0
"683",226595227,1
"684",226595230,0
"685",226595246,1
"686",226595248,0
"687",226595287,0
"688",226595297,1
"689",226595486,1
"690",226595500,0
"691",226595508,0
"692",226595531,0
"693",226595532,0
"694",226595538,0
"695",226595540,0
"696",226595545,1
"697",226595549,0
"698",226595556,1
"699",226595567,0
"700",226595575,0
"701",226595581,0
"702",226595591,0
"703",226596865,0
"704",226596924,0
"705",226596967,0
"706",226596972,0
"707",226596979,0
"708",226596992,0
"709",226597515,0
"710",226597519,1
"711",226597540,0
"712",226597680,1
"713",226597682,0
"714",226597693,0
"715",226597706,0
"716",226597715,0
"717",226597716,0
"718",226597727,0
"719",226597731,0
"720",226597735,1
"721",226597742,0
"722",226597748,0
"723",226597750,0
"724",226597754,0
"725",226597758,0
"726",226597788,0
"727",226597797,0
"728",226597800,0
"729",226597803,1
"730",226597811,0
"731",226597817,1
"732",226597818,0
"733",226597823,0
"734",226597827,1
"735",226597830,0
"736",226597836,0
"737",226597860,0
"738",226597877,1
"739",226597963,1
"740",226597971,0
"741",226597974,0
"742",226598031,0
"743",226598036,0
"744",226598083,0
"745",226598087,1
"746",226598100,0
"747",226598104,0
"748",226598122,1
"749",226598149,1
"750",226598158,0
"751",226598332,0
"752",226598338,0
"753",226598344,0
"754",226598372,1
"755",226598374,0
"756",226598377,0
"757",226598401,0
"758",226598686,0
"759",226598815,0
"760",226598856,1
"761",226598882,1
"762",226598923,1
"763",226599859,0
"764",226599866,0
"765",226599881,0
"766",226599907,0
"767",226599950,0
"768",226599955,0
"769",226599971,0
"770",226599991,0
"771",226600011,0
"772",226600013,0
"773",226600045,1
"774",226600047,0
"775",226600048,0
"776",226600689,0
"777",226600691,0
"778",226600703,0
"779",226600758,0
"780",226600886,0
"781",226600897,0
"782",226600906,0
"783",226600921,0
"784",226600922,0
"785",226600924,0
"786",226600938,0
"787",226600946,0
"788",226600947,0
"789",226600962,0
"790",226600972,0
"791",226600978,0
"792",226600980,0
"793",226600984,1
"794",226600985,0
"795",226601023,0
"796",226601040,0
"797",226601084,0
"798",226601099,0
"799",226601148,0
"800",226601167,0
"801",226601196,0
"802",226601205,0
"803",226601212,0
"804",226601253,0
"805",226601259,0
"806",226601267,0
"807",226601332,0
"808",226601333,0
"809",226601342,0
"810",226601413,0
"811",226601421,0
"812",226601668,0
"813",226601671,0
"814",226601672,1
"815",226601675,0
"816",226601696,0
"817",226601704,0
"818",226601719,0
"819",226601746,0
"820",226601752,0
"821",226601755,0
"822",226601758,0
"823",226601764,0
"824",226601785,1
"825",226601792,0
"826",226601795,1
"827",226601801,0
"828",226602536,1
"829",226603027,1
"830",226603044,0
"831",226603058,0
"832",226603085,0
"833",226603089,0
"834",226603112,0
"835",226603133,1
"836",226603138,0
"837",226603252,0
"838",226603257,0
"839",226603272,0
"840",226603299,0
"841",226603310,1
"842",226603343,1
"843",226603777,1
"844",226603931,0
"845",226603938,0
"846",226603939,0
"847",226603949,0
"848",226603966,0
"849",226604113,1
"850",226604119,1
"851",226604179,0
"852",226604180,0
"853",226604193,0
"854",226604197,0
"855",226604212,0
"856",226604215,0
"857",226604230,1
"858",226604240,0
"859",226604268,0
