"","V101","evangelical"
"355",161625912,0
"356",161626906,0
"357",161629425,0
"358",161629941,0
"359",161633432,1
"360",161634809,0
"361",161638312,1
"362",161638597,1
"363",161640432,0
"364",161641851,1
"365",161645826,0
"366",161649201,0
"367",161652767,0
"368",161661669,0
"369",161664734,0
"370",161680319,0
"371",161684742,0
"372",161684769,1
"373",161685780,0
"374",161693728,0
"375",161693822,0
"376",161699515,0
"377",161701395,0
"378",161702241,0
"379",161702529,0
"380",161702569,1
"381",161702612,1
"382",161702746,0
"383",161702805,0
"384",161702989,0
"385",161705627,0
"386",161706107,0
"387",161706274,0
"388",161706278,1
"389",161706362,0
"390",161707995,0
"391",161708452,0
"392",161708752,0
"393",161709934,0
"394",161710061,0
"395",161710191,0
"396",161710475,0
"397",161711917,1
"398",161712529,0
"399",161713193,0
"400",161713259,1
"401",161713367,0
"402",161713378,0
"403",161713705,0
"404",161713753,0
"405",161713774,0
"406",161713968,1
"407",161714032,0
"408",161714101,0
"409",161714148,0
"410",161714183,1
"411",161714389,0
"412",161714448,0
"413",161716143,0
"414",161716363,0
"415",161716417,1
"416",161716539,0
"417",161716838,0
"418",161717515,0
"419",161717684,1
"420",161718146,0
"421",161718220,0
"422",161718267,0
"423",161718386,1
"424",161720167,0
"425",161721336,1
"426",161721745,1
"427",161722318,1
"428",161722627,0
"429",161722646,0
"430",161722762,0
"431",161724740,1
"432",161724938,0
"433",161724978,0
"434",161725632,0
"435",161726506,1
"436",161726689,1
"437",161727087,0
"438",161727160,0
"439",161729569,0
"440",161729834,0
"441",161730048,0
"442",161730109,0
"443",161730407,1
"444",161730917,0
"445",161730942,1
"446",161731011,0
"447",161731079,0
"448",161731103,0
"449",161733565,0
"450",161733645,0
"451",161733813,1
"452",161734761,0
"453",161737044,0
"454",161737382,0
"455",161737560,1
"456",161737692,1
"457",161738309,0
"458",161747771,1
"459",161748081,1
"460",161754266,0
"461",161755071,0
"462",161755074,0
"463",161759254,0
"464",161760530,1
"465",161762850,0
"466",161766227,1
"467",161767784,1
"468",161774013,0
"469",161774157,0
"470",161776500,0
"471",161776668,0
"472",161776690,1
"473",161776734,0
"474",161777857,0
"475",161779036,0
"476",161779096,0
"477",161779109,0
"478",161779156,0
"479",161779161,0
"480",161779168,0
"481",161779299,1
"482",161779306,0
"483",161779440,0
"484",161779575,0
"485",161779607,1
"486",161779624,1
"487",161779643,1
"488",161779645,1
"489",161779775,0
"490",161779899,0
"491",161779951,0
"492",161779976,0
"493",161779979,1
"494",161780031,0
"495",161780114,0
"496",161780213,0
"497",161780853,0
"498",161780935,0
"499",161785080,0
"500",161788048,0
"501",161790253,0
"502",161791582,0
"503",161793258,1
"504",161796301,0
"505",161796465,0
"506",161796512,0
"507",161796532,1
"508",161797387,0
"509",161798110,0
"510",161799184,0
"511",161799207,0
"512",161799217,0
"513",161799374,1
"514",161799695,1
"515",161800872,0
"516",161800882,1
"517",161800891,0
"518",161800944,0
"519",161800992,0
"520",161800994,0
"521",161800996,0
"522",161801032,0
"523",161801057,0
"524",161801059,0
"525",161801076,1
"526",161801082,0
"527",161801093,0
"528",161801095,0
"529",161801107,0
"530",161801115,1
"531",161801154,0
"532",161801176,0
"533",161801182,1
"534",161801191,0
"535",161801206,0
"536",161801220,0
"537",161801231,0
"538",161801240,0
"539",161801248,1
"540",161801263,0
"541",161801317,0
"542",161801318,1
"543",161801339,0
"544",161801383,1
"545",161801444,1
"546",161801471,1
"547",161801479,0
"548",161801519,1
"549",161801559,0
"550",161801593,1
"551",161801604,0
"552",161801612,0
"553",161801704,0
"554",161801712,0
"555",161801746,0
"556",161801759,0
"557",161801805,0
"558",161801819,1
"559",161801839,0
"560",161801864,0
"561",161801871,1
"562",161801878,0
"563",161801896,0
"564",161801917,0
"565",161801931,0
"566",161801953,0
"567",161801964,0
"568",161801968,0
"569",161801989,0
"570",161802011,0
"571",161802016,0
"572",161802022,0
"573",161802046,0
"574",161802065,0
"575",161802207,0
"576",161802221,0
"577",161802223,0
"578",161802227,0
"579",161802318,0
"580",161802343,0
"581",161802383,1
"582",161802388,0
"583",161802421,0
"584",161802429,0
"585",161802455,0
"586",161802485,0
"587",161802496,0
"588",161802563,0
"589",161802599,0
"590",161802606,0
"591",161802613,0
"592",161802625,0
"593",161802694,0
"594",161802714,0
"595",161802722,0
"596",161802730,0
"597",161802752,0
"598",161802771,1
"599",161802784,0
"600",161802792,0
"601",161802843,0
"602",161802890,1
"603",161802999,1
"604",161803051,1
"605",161803104,0
"606",161803164,0
"607",161803165,1
"608",161803167,0
"609",161803183,1
"610",161803213,0
"611",161803225,1
"612",161803229,0
"613",161803252,1
"614",161803257,0
"615",161803305,0
"616",161803340,0
"617",161803407,1
"618",161803435,0
"619",161803441,1
"620",161803481,0
"621",161803557,0
"622",161803568,0
"623",161803578,0
"624",161803583,1
"625",161803592,1
"626",161803616,0
"627",161803662,0
"628",161803671,0
"629",161803693,0
"630",161803713,0
"631",161803714,0
"632",161803775,1
"633",161803782,0
"634",161803929,0
"635",161803930,1
"636",161803955,1
"637",161803959,1
"638",161803976,0
"639",161803984,0
"640",161804094,1
"641",161804112,0
"642",161804119,0
"643",161804165,0
"644",161804167,0
"645",161804178,0
"646",161804206,0
"647",161804398,0
"648",161804413,0
"649",161804481,1
"650",161804518,1
"651",161804534,1
"652",161804555,0
"653",161804668,0
"654",161804760,0
"655",161804779,1
"656",161804972,0
"657",161805049,0
"658",161805051,1
"659",161805064,0
"660",161805192,0
"661",161805652,0
"662",161806627,0
"663",161806635,0
"664",161806640,0
"665",161806662,0
"666",161806683,1
"667",161806701,0
"668",161806724,1
"669",161806762,0
"670",161806778,0
"671",161806786,0
"672",161806822,0
"673",161806837,0
"674",161806848,0
"675",161806874,0
